influencer,total_clicks,instabilidade,data,media_clicks,motivo
" Renato Questione-se",6,sim,2025-08-01,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",7,sim,2025-08-02,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",2,sim,2025-08-03,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",14,nao,2025-08-04,38.16,Normal
" Renato Questione-se",9,sim,2025-08-05,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",16,nao,2025-08-06,38.16,Normal
" Renato Questione-se",11,sim,2025-08-07,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",133,nao,2025-08-08,38.16,Normal
" Renato Questione-se",44,nao,2025-08-09,38.16,Normal
" Renato Questione-se",10,sim,2025-08-10,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",5,sim,2025-08-11,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",48,nao,2025-08-12,38.16,Normal
" Renato Questione-se",17,nao,2025-08-13,38.16,Normal
" Renato Questione-se",9,sim,2025-08-14,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",12,nao,2025-08-15,38.16,Normal
" Renato Questione-se",4,sim,2025-08-16,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",7,sim,2025-08-17,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",11,sim,2025-08-18,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",7,sim,2025-08-19,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",0,sim,2025-08-20,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",0,sim,2025-08-21,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",0,sim,2025-08-22,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",0,sim,2025-08-23,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",0,sim,2025-08-24,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",0,sim,2025-08-25,38.16,"Dia ausente - 0 cliques"
" Renato Questione-se",3,sim,2025-08-26,38.16,"Cliques muito abaixo da média (< 30%)"
" Renato Questione-se",127,nao,2025-08-27,38.16,Normal
" Renato Questione-se",63,nao,2025-08-28,38.16,Normal
" Renato Questione-se",146,nao,2025-08-29,38.16,Normal
" Renato Questione-se",188,nao,2025-08-30,38.16,Normal
" Renato Questione-se",55,nao,2025-08-31,38.16,Normal
"Alex Moretti",49,nao,2025-08-01,14.43,Normal
"Alex Moretti",14,nao,2025-08-02,14.43,Normal
"Alex Moretti",3,sim,2025-08-03,14.43,"Cliques muito abaixo da média (< 30%)"
"Alex Moretti",2,sim,2025-08-04,14.43,"Cliques muito abaixo da média (< 30%)"
"Alex Moretti",14,nao,2025-08-05,14.43,Normal
"Alex Moretti",20,nao,2025-08-06,14.43,Normal
"Alex Moretti",8,nao,2025-08-07,14.43,Normal
"Alex Moretti",13,nao,2025-08-08,14.43,Normal
"Alex Moretti",24,nao,2025-08-09,14.43,Normal
"Alex Moretti",4,sim,2025-08-10,14.43,"Cliques muito abaixo da média (< 30%)"
"Alex Moretti",0,sim,2025-08-11,14.43,"Dia ausente - 0 cliques"
"Alex Moretti",10,nao,2025-08-12,14.43,Normal
"Alex Moretti",26,nao,2025-08-13,14.43,Normal
"Alex Moretti",6,nao,2025-08-14,14.43,Normal
"Alex Moretti",19,nao,2025-08-15,14.43,Normal
"Alex Moretti",7,nao,2025-08-16,14.43,Normal
"Alex Moretti",4,sim,2025-08-17,14.43,"Cliques muito abaixo da média (< 30%)"
