influencer,total_clicks,instabilidade,data
 Renato Questione-se,6,nao,2025-08-01
 Renato Questione-se,7,nao,2025-08-02
 Renato Questione-se,2,nao,2025-08-03
 Renato Questione-se,14,nao,2025-08-04
 Renato Questione-se,9,nao,2025-08-05
 Renato Questione-se,16,nao,2025-08-06
 Renato Questione-se,11,nao,2025-08-07
 Renato Questione-se,133,nao,2025-08-08
 Renato Questione-se,44,nao,2025-08-09
 Renato Questione-se,10,nao,2025-08-10
 Renato Questione-se,5,nao,2025-08-11
 Renato Questione-se,48,nao,2025-08-12
 Renato Questione-se,17,nao,2025-08-13
 Renato Questione-se,9,nao,2025-08-14
 Renato Questione-se,12,nao,2025-08-15
 Renato Questione-se,4,nao,2025-08-16
 Renato Questione-se,7,nao,2025-08-17
 Renato Questione-se,11,nao,2025-08-18
 Renato Questione-se,7,nao,2025-08-19
 Renato Questione-se,3,nao,2025-08-26
 Renato Questione-se,127,nao,2025-08-27
 Renato Questione-se,63,nao,2025-08-28
 Renato Questione-se,146,nao,2025-08-29
 Renato Questione-se,188,nao,2025-08-30
 Renato Questione-se,55,nao,2025-08-31
Alex Moretti,49,nao,2025-08-01
Alex Moretti,14,nao,2025-08-02
Alex Moretti,3,nao,2025-08-03
Alex Moretti,2,nao,2025-08-04
Alex Moretti,14,nao,2025-08-05
Alex Moretti,20,nao,2025-08-06
Alex Moretti,8,nao,2025-08-07
Alex Moretti,13,nao,2025-08-08
Alex Moretti,24,nao,2025-08-09
Alex Moretti,4,nao,2025-08-10
Alex Moretti,10,nao,2025-08-12
Alex Moretti,26,nao,2025-08-13
Alex Moretti,6,nao,2025-08-14
Alex Moretti,19,nao,2025-08-15
Alex Moretti,7,nao,2025-08-16
Alex Moretti,4,nao,2025-08-17
Alex Moretti,2,nao,2025-08-18
Alex Moretti,5,nao,2025-08-19
Alex Moretti,6,nao,2025-08-26
Alex Moretti,47,nao,2025-08-27
Alex Moretti,8,nao,2025-08-28
Alex Moretti,33,nao,2025-08-29
Alex Moretti,8,nao,2025-08-30
Biólogo Henrique,19,nao,2025-08-01
Biólogo Henrique,8,nao,2025-08-02
Biólogo Henrique,8,nao,2025-08-03
Biólogo Henrique,5,nao,2025-08-04
Biólogo Henrique,11,nao,2025-08-05
Biólogo Henrique,17,nao,2025-08-06
Biólogo Henrique,101,nao,2025-08-07
Biólogo Henrique,159,nao,2025-08-08
Biólogo Henrique,78,nao,2025-08-09
Biólogo Henrique,40,nao,2025-08-10
Biólogo Henrique,20,nao,2025-08-11
Biólogo Henrique,7,nao,2025-08-12
Biólogo Henrique,57,nao,2025-08-13
Biólogo Henrique,18,nao,2025-08-14
Biólogo Henrique,8,nao,2025-08-15
Biólogo Henrique,20,nao,2025-08-16
Biólogo Henrique,11,nao,2025-08-17
Biólogo Henrique,8,nao,2025-08-18
Biólogo Henrique,15,nao,2025-08-19
Biólogo Henrique,8,nao,2025-08-26
Biólogo Henrique,11,nao,2025-08-27
Biólogo Henrique,5,nao,2025-08-28
Biólogo Henrique,13,nao,2025-08-29
Biólogo Henrique,21,nao,2025-08-30
Biólogo Henrique,12,nao,2025-08-31
Clayson,139,nao,2025-08-01
Clayson,148,nao,2025-08-02
Clayson,166,nao,2025-08-03
Clayson,215,nao,2025-08-04
Clayson,147,nao,2025-08-05
Clayson,98,nao,2025-08-06
Clayson,139,nao,2025-08-07
Clayson,118,nao,2025-08-08
Clayson,139,nao,2025-08-09
Clayson,153,nao,2025-08-10
Clayson,140,nao,2025-08-11
Clayson,132,nao,2025-08-12
Clayson,72,nao,2025-08-13
Clayson,136,nao,2025-08-14
Clayson,117,nao,2025-08-15
Clayson,62,nao,2025-08-16
Clayson,105,nao,2025-08-17
Clayson,160,nao,2025-08-18
Clayson,133,nao,2025-08-19
Clayson,113,nao,2025-08-26
Clayson,373,nao,2025-08-27
Clayson,275,nao,2025-08-28
Clayson,292,nao,2025-08-29
Clayson,414,nao,2025-08-30
Clayson,226,nao,2025-08-31
Click Política,1,nao,2025-08-05
Click Política,43,nao,2025-08-07
Click Política,20,nao,2025-08-08
Click Política,53,nao,2025-08-09
Click Política,14,nao,2025-08-10
Click Política,33,nao,2025-08-11
Click Política,39,nao,2025-08-12
Click Política,60,nao,2025-08-13
Click Política,32,nao,2025-08-14
Click Política,53,nao,2025-08-15
Click Política,25,nao,2025-08-16
Click Política,3,nao,2025-08-17
Click Política,15,nao,2025-08-18
Click Política,36,nao,2025-08-19
Click Política,12,nao,2025-08-26
Click Política,68,nao,2025-08-27
Click Política,23,nao,2025-08-28
Click Política,235,nao,2025-08-29
Click Política,182,nao,2025-08-30
Click Política,187,nao,2025-08-31
Daniel Alvarenga,225,nao,2025-08-01
Daniel Alvarenga,137,nao,2025-08-02
Daniel Alvarenga,166,nao,2025-08-03
Daniel Alvarenga,236,nao,2025-08-04
Daniel Alvarenga,134,nao,2025-08-05
Daniel Alvarenga,111,nao,2025-08-06
Daniel Alvarenga,168,nao,2025-08-07
Daniel Alvarenga,193,nao,2025-08-08
Daniel Alvarenga,175,nao,2025-08-09
Daniel Alvarenga,106,nao,2025-08-10
Daniel Alvarenga,130,nao,2025-08-11
Daniel Alvarenga,150,nao,2025-08-12
